X,Y,Z,layer,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,PH-uniqueid,PH-latD,PH-latM,PH-latSS,PH-latH,PH-lonD,PH-lonM,PH-lonSS,PH-lonH
152.0793083,-34.00731651,448.056,1500 Area-Boundary,146,0,0,146,15000146,34,00,26.34,S,152,04,45.51,E
152.0778918,-34.02035448,448.056,1500 Area-Boundary,147,0,0,147,15000147,34,01,13.28,S,152,04,40.41,E
152.0778918,-34.02035449,448.056,1500 Area-Boundary,148,0,0,148,15000148,34,01,13.28,S,152,04,40.41,E
152.0762023,-34.03336988,448.056,1500 Area-Boundary,149,0,0,149,15000149,34,02,00.13,S,152,04,34.33,E
152.0762023,-34.0333699,448.056,1500 Area-Boundary,150,0,0,150,15000150,34,02,00.13,S,152,04,34.33,E
152.07424,-34.04635875,448.056,1500 Area-Boundary,151,0,0,151,15000151,34,02,46.89,S,152,04,27.26,E
152.07424,-34.04635876,448.056,1500 Area-Boundary,152,0,0,152,15000152,34,02,46.89,S,152,04,27.26,E
152.0720057,-34.05931711,448.056,1500 Area-Boundary,153,0,0,153,15000153,34,03,33.54,S,152,04,19.22,E
152.0720057,-34.05931713,448.056,1500 Area-Boundary,154,0,0,154,15000154,34,03,33.54,S,152,04,19.22,E
152.0694997,-34.07224103,448.056,1500 Area-Boundary,155,0,0,155,15000155,34,04,20.07,S,152,04,10.20,E
152.0694997,-34.07224105,448.056,1500 Area-Boundary,156,0,0,156,15000156,34,04,20.07,S,152,04,10.20,E
152.0667227,-34.08512656,448.056,1500 Area-Boundary,157,0,0,157,15000157,34,05,06.46,S,152,04,00.20,E
152.0667227,-34.08512658,448.056,1500 Area-Boundary,158,0,0,158,15000158,34,05,06.46,S,152,04,00.20,E
152.0636755,-34.09796978,448.056,1500 Area-Boundary,159,0,0,159,15000159,34,05,52.69,S,152,03,49.23,E
152.0636755,-34.09796979,448.056,1500 Area-Boundary,160,0,0,160,15000160,34,05,52.69,S,152,03,49.23,E
152.0603588,-34.11076676,448.056,1500 Area-Boundary,161,0,0,161,15000161,34,06,38.76,S,152,03,37.29,E
152.0603588,-34.11076677,448.056,1500 Area-Boundary,162,0,0,162,15000162,34,06,38.76,S,152,03,37.29,E
152.0567736,-34.12351359,448.056,1500 Area-Boundary,163,0,0,163,15000163,34,07,24.65,S,152,03,24.39,E
152.0567736,-34.12351361,448.056,1500 Area-Boundary,164,0,0,164,15000164,34,07,24.65,S,152,03,24.38,E
152.0529208,-34.1362064,448.056,1500 Area-Boundary,165,0,0,165,15000165,34,08,10.34,S,152,03,10.51,E
152.0529208,-34.13620642,448.056,1500 Area-Boundary,166,0,0,166,15000166,34,08,10.34,S,152,03,10.51,E
152.0488015,-34.14884129,448.056,1500 Area-Boundary,167,0,0,167,15000167,34,08,55.83,S,152,02,55.69,E
152.0488015,-34.14884131,448.056,1500 Area-Boundary,168,0,0,168,15000168,34,08,55.83,S,152,02,55.69,E
152.0444168,-34.16141442,448.056,1500 Area-Boundary,169,0,0,169,15000169,34,09,41.09,S,152,02,39.90,E
152.0444168,-34.16141443,448.056,1500 Area-Boundary,170,0,0,170,15000170,34,09,41.09,S,152,02,39.90,E
152.039768,-34.17392192,448.056,1500 Area-Boundary,171,0,0,171,15000171,34,10,26.12,S,152,02,23.16,E
152.039768,-34.17392193,448.056,1500 Area-Boundary,172,0,0,172,15000172,34,10,26.12,S,152,02,23.16,E
152.0348563,-34.18635998,448.056,1500 Area-Boundary,173,0,0,173,15000173,34,11,10.90,S,152,02,05.48,E
152.0348563,-34.18635999,448.056,1500 Area-Boundary,174,0,0,174,15000174,34,11,10.90,S,152,02,05.48,E
152.0296831,-34.19872479,448.056,1500 Area-Boundary,175,0,0,175,15000175,34,11,55.41,S,152,01,46.86,E
